GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
294,117,1,3.4,4.3,6.82,1,0.341
329,104,3,3.5,3.4,9.22,1,0.712
323,120,4,1.5,2.0,6.42,0,0.451
312,113,3,3.8,4.0,8.46,0,0.483
312,110,2,3.7,1.3,8.98,1,0.517
333,118,5,3.7,4.1,9.0,0,0.859
294,105,2,1.3,3.4,6.76,1,0.303
325,112,4,2.8,1.4,6.25,0,0.563
300,98,3,2.6,1.3,7.8,0,0.296
294,119,1,1.3,4.0,6.81,1,0.464
316,109,3,1.9,2.2,8.8,0,0.502
339,114,1,2.8,4.6,7.43,1,0.672
327,104,5,4.0,4.0,7.8,1,0.618
328,116,4,1.9,3.8,6.45,0,0.604
326,92,2,4.3,2.1,8.27,0,0.449
330,93,3,3.2,3.8,6.74,0,0.435
316,105,4,4.0,4.8,8.72,1,0.726
296,112,2,2.9,1.4,6.28,0,0.3
332,115,2,3.0,2.3,9.9,1,0.786
312,103,3,3.5,1.9,8.74,1,0.501
315,110,2,4.7,2.6,6.73,1,0.491
308,107,4,3.0,4.0,6.06,0,0.393
299,119,1,3.1,2.9,7.34,0,0.405
337,110,5,3.4,3.3,6.61,1,0.758
329,102,2,4.0,2.3,6.87,1,0.538
322,120,3,1.3,1.6,9.49,0,0.688
310,93,1,3.1,2.1,8.41,1,0.43
331,120,2,2.9,4.4,6.71,0,0.577
317,94,4,4.7,3.4,8.23,1,0.612
312,98,2,3.0,2.5,7.02,1,0.471
312,115,1,2.9,4.2,9.9,0,0.679
301,112,3,4.8,1.3,6.13,0,0.394
294,120,1,2.8,2.0,8.93,0,0.392
318,113,2,1.7,1.9,9.09,0,0.492
335,109,3,1.9,4.9,6.27,0,0.577
293,100,3,1.4,3.8,6.69,1,0.366
333,90,4,1.0,3.5,7.54,0,0.494
332,93,4,2.7,1.0,9.47,0,0.581
304,99,5,4.1,1.7,8.15,0,0.434
322,91,1,3.9,3.5,8.62,0,0.447
298,105,2,1.1,2.5,9.13,1,0.386
328,114,1,3.3,4.7,9.31,0,0.67
325,119,1,1.6,4.1,7.91,1,0.679
308,105,2,4.8,2.8,8.04,0,0.438
293,117,3,1.7,4.0,8.87,1,0.492
339,120,5,3.5,4.9,7.05,1,0.763
312,116,4,2.3,2.8,9.42,0,0.621
335,104,4,3.6,3.6,6.08,0,0.617
324,100,4,2.6,4.7,6.78,1,0.632
329,120,1,4.0,2.0,9.2,1,0.704
328,97,5,1.9,4.5,7.36,0,0.57
299,102,5,4.6,1.4,6.6,1,0.386
308,92,1,3.0,3.6,6.75,1,0.347
313,114,3,4.0,4.1,8.12,1,0.632
315,110,5,4.4,3.5,9.38,0,0.669
292,92,3,5.0,3.0,6.28,1,0.293
317,96,5,1.9,3.5,6.12,1,0.456
297,107,5,2.1,1.6,7.86,1,0.398
327,106,3,2.0,1.9,9.82,0,0.578
324,114,1,2.1,2.1,7.12,1,0.57
337,98,2,3.3,3.4,9.84,0,0.792
327,118,2,5.0,2.8,9.55,0,0.649
308,103,3,5.0,2.0,7.13,0,0.342
339,115,3,3.1,4.5,9.27,0,0.725
310,97,3,3.6,2.5,8.74,1,0.489
306,91,1,4.4,2.8,8.05,1,0.428
336,91,2,4.7,2.6,7.69,0,0.553
308,101,4,1.8,1.7,9.26,0,0.447
293,119,1,3.1,3.9,9.17,0,0.473
313,91,2,4.3,2.8,9.03,1,0.462
330,101,5,2.2,1.1,9.99,0,0.615
299,93,1,2.8,4.9,7.91,0,0.306
313,118,3,4.9,4.3,9.23,1,0.64
296,110,2,4.9,3.9,9.45,1,0.495
325,113,1,4.6,4.5,6.85,0,0.489
314,112,3,4.2,4.6,6.17,0,0.521
306,110,3,2.1,2.3,7.62,0,0.399
301,113,1,2.3,3.4,9.43,1,0.526
318,90,1,3.2,3.4,7.16,1,0.299
324,116,1,3.2,2.1,8.8,0,0.482
337,112,4,3.0,1.9,6.03,0,0.574
312,112,5,3.5,1.5,7.42,0,0.349
298,102,1,2.6,3.6,8.46,0,0.397
332,114,2,4.0,4.1,6.52,1,0.534
322,101,2,2.3,4.0,9.59,0,0.601
325,91,2,2.3,2.3,6.63,1,0.342
294,118,2,1.5,1.8,9.64,0,0.456
305,97,1,1.8,2.8,6.87,1,0.444
329,93,3,4.4,3.2,9.98,0,0.524
332,109,2,2.8,4.7,8.42,1,0.715
